Frame,Saliency_xcoord,Saliency_ycoord
1417,631,292
1418,631,292
1419,631,292
1420,448,213
1421,448,213
1422,448,213
1423,448,213
1424,448,213
1425,448,213
1426,490,191
1427,314,174
1428,314,174
1429,314,174
1430,314,174
1431,144,61
1432,144,61
1433,144,61
1434,168,229
1435,126,234
1436,198,262
1437,199,263
1438,199,263
1439,312,76
1440,89,287
1441,89,287
1442,89,287
1443,89,287
1444,89,287
1445,36,299
1446,95,12
1447,100,132
1448,94,71
1449,94,71
1450,94,71
1451,98,161
1452,99,161
1453,96,161
1454,96,160
1455,98,160
1456,89,160
1457,91,160
1458,91,159
1459,91,159
1460,95,159
1461,95,158
1462,95,158
1463,96,156
1464,96,158
1465,6,296
1466,99,25
1467,99,25
1468,99,25
1469,99,25
1470,99,25
1471,79,113
1472,98,26
1473,158,68
1474,158,68
1475,158,68
1476,158,68
1477,92,161
1478,97,161
1479,96,161
1480,96,161
1481,96,161
1482,96,161
1483,364,152
1484,364,152
1485,364,152
1486,364,152
1487,364,152
1488,83,117
1489,87,117
1490,29,294
1491,76,64
1492,86,117
1493,86,117
1494,86,117
1495,86,117
1496,86,117
1497,86,117
1498,86,117
1499,86,117
1500,86,117
1501,343,279
1502,346,279
1503,346,279
1504,346,279
1505,346,279
1506,306,260
1507,306,260
1508,306,260
1509,306,260
1510,306,260
1511,306,260
1512,502,255
1513,77,68
1514,77,68
1515,77,68
1516,77,68
1517,77,68
1518,77,68
1519,629,227
1520,629,227
1521,629,227
1522,629,227
1523,629,227
1524,629,227
1525,629,227
1526,629,227
1527,84,307
1528,256,182
1529,255,183
1530,255,183
1531,255,183
1532,255,183
1533,255,183
1534,255,183
1535,255,183
1536,255,183
1537,3,271
1538,3,271
1539,3,271
1540,67,281
1541,74,287
1542,84,284
1543,84,284
1544,135,325
1545,135,325
1546,135,325
1547,135,325
1548,135,325
1549,135,325
1550,135,325
1551,135,325
1552,135,325
1553,135,325
1554,135,325
1555,135,325
1556,135,325
1557,135,325
1558,135,325
1559,135,325
1560,41,298
1561,4,311
1562,4,311
1563,4,311
1564,4,311
1565,4,311
1566,4,311
1567,4,311
1568,4,311
1569,4,311
1570,4,311
1571,4,311
1572,4,311
1573,4,311
1574,4,311
1575,4,311
1576,4,311
1577,4,311
1578,4,311
1579,146,426
1580,146,426
1581,146,426
1582,146,426
1583,146,426
1584,342,350
1585,342,350
1586,342,350
1587,342,350
1588,342,350
1589,342,350
1590,342,350
1591,83,329
1592,83,329
1593,57,319
1594,57,319
1595,57,319
1596,57,319
1597,57,319
1598,36,326
1599,36,326
1600,36,326
1601,36,326
1602,36,326
1603,185,419
1604,186,421
1605,186,421
1606,186,421
1607,186,421
1608,186,421
1609,186,421
1610,162,338
1611,162,338
1612,162,338
1613,162,338
1614,162,338
1615,6,421
1616,6,421
1617,6,421
1618,36,428
1619,36,428
1620,369,364
1621,369,364
1622,428,334
1623,428,334
1624,428,334
1625,428,334
1626,428,334
1627,428,334
1628,428,334
1629,428,334
1630,568,345
1631,568,345
1632,568,345
1633,568,345
